南京,20220701,26,7,20
南京,20220702,29,7,24
南京,20220703,28,10,23
南京,20220704,36,15,32
南京,20220705,37,19,37
南京,20220706,18,6,15
南京,20220707,26,11,22
南京,20220708,27,11,23
南京,20220709,27,11,24
南京,20220710,32,12,27
南京,20220711,33,11,28
南京,20220712,38,16,34
南京,20220713,39,17,34
南京,20220714,41,19,37
南京,20220715,40,20,38
南京,20220716,48,28,50
南京,20220717,41,24,40
南京,20220718,28,12,22
南京,20220719,48,16,33
南京,20220720,23,8,21
南京,20220721,23,9,16
南京,20220722,39,16,33
南京,20220723,33,14,29
南京,20220724,41,15,29
南京,20220725,52,20,38
南京,20220726,25,10,24
南京,20220727,55,17,32
南京,20220728,40,18,36
南京,20220729,31,14,29
南京,20220730,30,12,27
南京,20220731,26,11,25
